작업자,시험명,프레임수,금액,오브젝트 개수,오브젝트 합,월,일,주민등록번호,핸드폰,주소,계좌번호
김민서,2_20200615_220840_001830,112,294900,Object개수:   차량 _1464/ 보행자_137/  신호등_75/  표지판_78/  노면표식_127/ 노면화살표_85,1966,9,16,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_220840_005310,142,250200,Object개수:   차량 _1157/ 보행자_118/  신호등_111/  표지판_67/  노면표식_137/ 노면화살표_78,1668,9,17,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_220840_008610,140,271650,Object개수:   차량 _1380/ 보행자_60/  신호등_107/  표지판_99/  노면표식_107/ 노면화살표_58,1811,9,23,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_221359_005070,147,251100,Object개수:   차량 _1200/ 보행자_93/  신호등_106/  표지판_86/  노면표식_106/ 노면화살표_83,1674,9,24,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_221359_008790,137,247350,Object개수:   차량 _1102/ 보행자_126/  신호등_85/  표지판_71/  노면표식_161/ 노면화살표_104,1649,9,27,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_221918_003780,128,234150,Object개수:   차량 _1076/ 보행자_76/  신호등_111/  표지판_85/  노면표식_133/ 노면화살표_80,1561,9,28,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_222437_003690,154,248100,Object개수:   차량 _1142/ 보행자_98/  신호등_122/  표지판_87/  노면표식_117/ 노면화살표_88,1654,9,29,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_222956_002220,128,233400,Object개수:   차량 _1028/ 보행자_82/  신호등_112/  표지판_101/  노면표식_111/ 노면화살표_122,1556,9,30,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_222956_006270,68,271350,Object개수:   차량 _1347/ 보행자_87/  신호등_90/  표지판_90/  노면표식_134/ 노면화살표_61,1809,10,6,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_223516_003510,155,250500,Object개수:   차량 _1206/ 보행자_60/  신호등_85/  표지판_112/  노면표식_109/ 노면화살표_98,1670,10,7,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_224036_002250,132,283800,Object개수:   차량 _1328/ 보행자_100/  신호등_116/  표지판_128/  노면표식_125/ 노면화살표_95,1892,10,8,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_224036_007860,120,275850,Object개수:   차량 _1350/ 보행자_72/  신호등_107/  표지판_94/  노면표식_145/ 노면화살표_71,1839,10,11,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_225116_007680,110,298050,Object개수:   차량 _1474/ 보행자_105/  신호등_132/  표지판_59/  노면표식_118/ 노면화살표_99,1987,10,12,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_225636_002190,134,287400,Object개수:   차량 _1418/ 보행자_106/  신호등_125/  표지판_101/  노면표식_90/ 노면화살표_76,1916,10,13,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
김민서,2_20200615_225636_006840,72,282750,Object개수:   차량 _1375/ 보행자_111/  신호등_129/  표지판_70/  노면표식_103/ 노면화살표_97,1885,10,14,880307-2010816,010-4891-3995,부산 사하구 장림번영로76 204동 1203호,( 산업 은행 ) 020-3821-5862-780
성선영,1_20200615_211019_006450,107,284700,Object개수:   차량 _1401/ 보행자_69/  신호등_104/  표지판_70/  노면표식_152/ 노면화살표_102,1898,9,1,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_211537_001380,72,237900,Object개수:   차량 _1114/ 보행자_120/  신호등_73/  표지판_72/  노면표식_138/ 노면화살표_69,1586,9,2,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_211537_006870,152,234450,Object개수:   차량 _1108/ 보행자_61/  신호등_80/  표지판_97/  노면표식_105/ 노면화살표_112,1563,9,3,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_212055_002040,131,267450,Object개수:   차량 _1332/ 보행자_81/  신호등_82/  표지판_91/  노면표식_49/ 노면화살표_148,1783,9,6,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_213132_004620,112,276750,Object개수:   차량 _1297/ 보행자_104/  신호등_112/  표지판_76/  노면표식_148/ 노면화살표_108,1845,9,7,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_213650_005460,151,258450,Object개수:   차량 _1139/ 보행자_75/  신호등_111/  표지판_124/  노면표식_143/ 노면화살표_131,1723,9,8,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_214209_002460,151,279600,Object개수:   차량 _1306/ 보행자_68/  신호등_119/  표지판_112/  노면표식_140/ 노면화살표_119,1864,9,9,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_214727_000450,134,262350,Object개수:   차량 _1343/ 보행자_93/  신호등_53/  표지판_74/  노면표식_121/ 노면화살표_65,1749,9,10,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_215244_003270,129,237900,Object개수:   차량 _1073/ 보행자_88/  신호등_133/  표지판_101/  노면표식_106/ 노면화살표_85,1586,9,13,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_215802_003810,115,241350,Object개수:   차량 _1144/ 보행자_87/  신호등_92/  표지판_84/  노면표식_114/ 노면화살표_88,1609,9,14,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_220322_001560,142,240600,Object개수:   차량 _1158/ 보행자_121/  신호등_76/  표지판_72/  노면표식_102/ 노면화살표_75,1604,9,15,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_220322_007830,153,259050,Object개수:   차량 _1276/ 보행자_86/  신호등_100/  표지판_79/  노면표식_101/ 노면화살표_85,1727,9,16,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_220840_002130,125,232950,Object개수:   차량 _999/ 보행자_80/  신호등_139/  표지판_86/  노면표식_159/ 노면화살표_90,1553,9,17,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_220840_005610,129,262500,Object개수:   차량 _1174/ 보행자_151/  신호등_123/  표지판_120/  노면표식_111/ 노면화살표_71,1750,9,23,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_220840_008910,141,288000,Object개수:   차량 _1405/ 보행자_129/  신호등_97/  표지판_87/  노면표식_125/ 노면화살표_77,1920,9,24,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_221359_005370,132,293550,Object개수:   차량 _1403/ 보행자_117/  신호등_110/  표지판_76/  노면표식_160/ 노면화살표_91,1957,9,27,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_221918_000090,128,273300,Object개수:   차량 _1286/ 보행자_68/  신호등_118/  표지판_90/  노면표식_107/ 노면화살표_153,1822,9,28,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_221918_004080,115,296400,Object개수:   차량 _1370/ 보행자_146/  신호등_132/  표지판_93/  노면표식_131/ 노면화살표_104,1976,9,29,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_222437_003990,165,234900,Object개수:   차량 _1027/ 보행자_79/  신호등_122/  표지판_133/  노면표식_137/ 노면화살표_68,1566,9,30,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_222956_002580,132,298950,Object개수:   차량 _1475/ 보행자_114/  신호등_92/  표지판_105/  노면표식_140/ 노면화살표_67,1993,10,6,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_222956_006570,145,270900,Object개수:   차량 _1242/ 보행자_107/  신호등_118/  표지판_116/  노면표식_162/ 노면화살표_61,1806,10,7,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_223516_003810,126,277650,Object개수:   차량 _1300/ 보행자_124/  신호등_94/  표지판_60/  노면표식_173/ 노면화살표_100,1851,10,8,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_224036_002580,139,259500,Object개수:   차량 _1182/ 보행자_76/  신호등_103/  표지판_123/  노면표식_147/ 노면화살표_99,1730,10,11,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_224036_008160,131,290550,Object개수:   차량 _1439/ 보행자_117/  신호등_94/  표지판_70/  노면표식_102/ 노면화살표_115,1937,10,12,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_225116_007980,116,272550,Object개수:   차량 _1269/ 보행자_95/  신호등_130/  표지판_123/  노면표식_112/ 노면화살표_88,1817,10,13,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_225636_002490,107,279300,Object개수:   차량 _1315/ 보행자_113/  신호등_92/  표지판_119/  노면표식_149/ 노면화살표_74,1862,10,14,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_225636_007140,117,256650,Object개수:   차량 _1265/ 보행자_79/  신호등_123/  표지판_82/  노면표식_84/ 노면화살표_78,1711,10,15,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_230157_007020,152,271050,Object개수:   차량 _1308/ 보행자_91/  신호등_124/  표지판_77/  노면표식_125/ 노면화살표_82,1807,10,16,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20200615_230717_002460,119,262500,Object개수:   차량 _1291/ 보행자_85/  신호등_105/  표지판_83/  노면표식_119/ 노면화살표_67,1750,10,18,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20211008_023222_000000,113,277050,Object개수:   차량 _1316/ 보행자_93/  신호등_109/  표지판_107/  노면표식_119/ 노면화살표_103,1847,10,22,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20211008_023709_000720,112,281100,Object개수:   차량 _1305/ 보행자_110/  신호등_101/  표지판_118/  노면표식_158/ 노면화살표_82,1874,10,23,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20211008_024342_000420,109,261900,Object개수:   차량 _1237/ 보행자_101/  신호등_92/  표지판_92/  노면표식_129/ 노면화살표_95,1746,10,25,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,1_20211008_024810_000660,126,271650,Object개수:   차량 _1215/ 보행자_127/  신호등_93/  표지판_107/  노면표식_153/ 노면화살표_116,1811,10,26,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,2_20211008_033719_001470,128,291450,Object개수:   차량 _1424/ 보행자_79/  신호등_99/  표지판_106/  노면표식_136/ 노면화살표_99,1943,10,27,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,2_20211008_034058_000840,157,267000,Object개수:   차량 _1254/ 보행자_111/  신호등_120/  표지판_62/  노면표식_120/ 노면화살표_113,1780,10,28,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,2_20211008_034640_000030,135,277200,Object개수:   차량 _1329/ 보행자_85/  신호등_149/  표지판_74/  노면표식_128/ 노면화살표_83,1848,10,29,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_023222_000000,135,240000,Object개수:   차량 _1135/ 보행자_74/  신호등_108/  표지판_62/  노면표식_123/ 노면화살표_98,1600,12,4,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_023709_000720,141,299700,Object개수:   차량 _1464/ 보행자_104/  신호등_124/  표지판_107/  노면표식_133/ 노면화살표_66,1998,12,6,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_024342_000420,133,238650,Object개수:   차량 _1071/ 보행자_111/  신호등_112/  표지판_54/  노면표식_140/ 노면화살표_103,1591,12,7,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_024810_000660,118,286650,Object개수:   차량 _1362/ 보행자_66/  신호등_115/  표지판_113/  노면표식_127/ 노면화살표_128,1911,12,8,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_030506_000000,140,286200,Object개수:   차량 _1415/ 보행자_90/  신호등_96/  표지판_107/  노면표식_115/ 노면화살표_85,1908,12,9,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_031013_000030,122,257100,Object개수:   차량 _1294/ 보행자_111/  신호등_85/  표지판_103/  노면표식_109/ 노면화살표_12,1714,12,10,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_031013_003330,116,235200,Object개수:   차량 _1097/ 보행자_70/  신호등_102/  표지판_87/  노면표식_137/ 노면화살표_75,1568,12,11,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_031619_000480,137,277500,Object개수:   차량 _1310/ 보행자_87/  신호등_88/  표지판_112/  노면표식_140/ 노면화살표_113,1850,12,13,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_031822_001890,115,242250,Object개수:   차량 _1108/ 보행자_98/  신호등_101/  표지판_99/  노면표식_138/ 노면화살표_71,1615,12,14,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_031822_005190,133,246450,Object개수:   차량 _1138/ 보행자_80/  신호등_137/  표지판_76/  노면표식_118/ 노면화살표_94,1643,12,15,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_032355_003090,121,276000,Object개수:   차량 _1331/ 보행자_101/  신호등_94/  표지판_89/  노면표식_132/ 노면화살표_93,1840,12,16,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_032730_002490,173,272550,Object개수:   차량 _1286/ 보행자_116/  신호등_92/  표지판_69/  노면표식_169/ 노면화살표_85,1817,12,17,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_033250_000210,130,261600,Object개수:   차량 _1227/ 보행자_114/  신호등_122/  표지판_127/  노면표식_97/ 노면화살표_57,1744,12,18,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_033719_001470,137,287550,Object개수:   차량 _1434/ 보행자_78/  신호등_83/  표지판_72/  노면표식_107/ 노면화살표_143,1917,12,20,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_034058_000840,106,263700,Object개수:   차량 _1226/ 보행자_84/  신호등_106/  표지판_81/  노면표식_161/ 노면화살표_100,1758,12,21,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
성선영,3_20211008_034640_000030,131,298500,Object개수:   차량 _1461/ 보행자_100/  신호등_99/  표지판_97/  노면표식_120/ 노면화살표_113,1990,12,22,750225-2805014,010-5587-7413,경기 김포시 중봉로 1-1 신안3차 307-1002,( 농협(축) 은행 ) 176824-56-029676
신성례,1_20200615_212055_007530,122,267150,Object개수:   차량 _1284/ 보행자_120/  신호등_91/  표지판_81/  노면표식_108/ 노면화살표_97,1781,9,1,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_212613_005250,152,283200,Object개수:   차량 _1339/ 보행자_78/  신호등_142/  표지판_84/  노면표식_130/ 노면화살표_115,1888,9,2,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_230717_006570,145,239550,Object개수:   차량 _1048/ 보행자_108/  신호등_121/  표지판_111/  노면표식_116/ 노면화살표_93,1597,9,3,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_231239_002670,109,259950,Object개수:   차량 _1278/ 보행자_89/  신호등_84/  표지판_109/  노면표식_103/ 노면화살표_70,1733,9,6,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_231239_005970,158,231600,Object개수:   차량 _1117/ 보행자_95/  신호등_72/  표지판_66/  노면표식_139/ 노면화살표_55,1544,9,7,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_231800_002580,121,241800,Object개수:   차량 _1142/ 보행자_113/  신호등_121/  표지판_66/  노면표식_90/ 노면화살표_80,1612,9,8,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_232321_000120,149,284400,Object개수:   차량 _1343/ 보행자_81/  신호등_121/  표지판_132/  노면표식_113/ 노면화살표_106,1896,9,9,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_232843_000660,140,233400,Object개수:   차량 _1039/ 보행자_97/  신호등_137/  표지판_90/  노면표식_103/ 노면화살표_90,1556,9,10,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_232843_006900,114,293850,Object개수:   차량 _1460/ 보행자_106/  신호등_82/  표지판_94/  노면표식_132/ 노면화살표_85,1959,9,13,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_233405_006360,122,272250,Object개수:   차량 _1310/ 보행자_81/  신호등_118/  표지판_81/  노면표식_130/ 노면화살표_95,1815,9,14,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_233927_004380,131,237150,Object개수:   차량 _1108/ 보행자_108/  신호등_77/  표지판_106/  노면표식_132/ 노면화살표_50,1581,9,15,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20200615_234450_000420,153,266400,Object개수:   차량 _1284/ 보행자_84/  신호등_98/  표지판_114/  노면표식_112/ 노면화살표_84,1776,9,16,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20211008_030506_000000,144,282150,Object개수:   차량 _1384/ 보행자_110/  신호등_92/  표지판_113/  노면표식_85/ 노면화살표_97,1881,10,11,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20211008_031013_000030,154,269700,Object개수:   차량 _1356/ 보행자_73/  신호등_92/  표지판_121/  노면표식_86/ 노면화살표_70,1798,10,12,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20211008_031013_003330,105,241050,Object개수:   차량 _1124/ 보행자_76/  신호등_97/  표지판_122/  노면표식_109/ 노면화살표_79,1607,10,13,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20211008_031619_000480,88,256650,Object개수:   차량 _1187/ 보행자_119/  신호등_105/  표지판_91/  노면표식_128/ 노면화살표_81,1711,10,14,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20211008_031822_001890,131,273600,Object개수:   차량 _1320/ 보행자_106/  신호등_97/  표지판_92/  노면표식_106/ 노면화살표_103,1824,10,15,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20211008_031822_005190,119,267900,Object개수:   차량 _1292/ 보행자_77/  신호등_161/  표지판_86/  노면표식_80/ 노면화살표_90,1786,10,16,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20211008_032355_003090,165,251550,Object개수:   차량 _1088/ 보행자_113/  신호등_116/  표지판_126/  노면표식_112/ 노면화살표_122,1677,10,18,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
신성례,1_20211008_032730_002490,137,246600,Object개수:   차량 _1150/ 보행자_129/  신호등_97/  표지판_89/  노면표식_128/ 노면화살표_51,1644,10,19,790620-2852518,010-2032-6171,수원시 영통구 광교호수공원로80 105-3402,( 농협 은행 ) 302-2032-617181
